BLOCK,NAME,AGE,PARTY,STATUS,HIT
三重1区,川崎 二郎,67,自民,前,3240000
三重2区,中野 武史,40,共産,新,2050000
三重3区,嶋田 幸司,40,自民,新,259000
三重4区,田村 憲久,50,自民,前,347000
三重5区,内藤 弘一,50,共産,新,321000
京都1区,平 智之,55,無所,元,2400000
京都2区,原 俊史,47,共産,新,2420000
京都3区,宮崎 謙介,33,自民,前,8260000
京都4区,田中 英之,44,自民,前,2330000
京都5区,小原 舞,40,民主,元,3050000
京都6区,安藤 裕,49,自民,前,719000
佐賀1区,岩田 和親,41,自民,前,317000
佐賀2区,古川 康,56,自民,新,423000
兵庫10区,松井 雅博,35,維新,新,359000
兵庫11区,松本 剛明,55,民主,前,1650000
兵庫12区,山口 壮,60,無所,前,9550000
兵庫1区,井坂 信彦,40,維新,前,196000
兵庫2区,赤羽 一嘉,56,公明,前,914000
兵庫3区,関 芳弘,49,自民,前,10700000
兵庫4区,林 政人,61,共産,新,816000
兵庫5区,谷 公一,62,自民,前,1310000
兵庫6区,辻 泰弘,58,民主,新,351000
兵庫7区,山田 賢司,48,自民,前,1000000
兵庫8区,中野 洋昌,36,公明,前,2150000
兵庫9区,新町 美千代,67,共産,新,670000
北海道10区,木村 賢治,63,共産,新,851000
北海道11区,三津 丈夫,68,民主,新,389000
北海道12区,武部 新,44,自民,前,14400000
北海道1区,船橋 利実,54,自民,前,2680000
北海道2区,池田 真紀,42,無所,新,1520000
北海道3区,高木 宏寿,54,自民,前,395000
北海道4区,中村 裕之,53,自民,前,2890000
北海道5区,町村 信孝,70,自民,前,2610000
北海道6区,佐々木 隆博,65,民主,元,623000
北海道7区,石川 明美,63,共産,新,8670000
北海道8区,前田 一男,48,自民,前,740000
北海道9区,堀井 学,42,自民,前,1730000
千葉10区,谷田川 元,51,民主,元,7890000
千葉11区,森 英介,66,自民,前,3800000
千葉12区,浜田 靖一,59,自民,前,539000
千葉13区,中川 勝敏,68,共産,新,961000
千葉1区,田嶋 要,53,民主,前,3790000
千葉2区,小松 実,66,共産,新,5180000
